"Species","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Phaeospirillum fulvum",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella unclassified_species",0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"Catellatospora unclassified_species",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium methylpentosum",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"BD2-6 unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodopila globiformis",50,18,0,19,0,0,0,0,0,8,0,0,0,30,0,0
"Lactobacillus brevis",17,0,0,0,0,0,0,0,15,0,0,47,40,20,20,0
"Afipia felis",22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosopumilus unclassified_species",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella nanceiensis",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium viridans",619,556,590,533,786,7388,995,513,126,71,258,104,430,135,182,27
"Filomicrobium insigne",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia mucilaginosa",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,17
"Spirosoma unclassified_species",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Pontibacter unclassified_species",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus unclassified_species",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor unclassified_species",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Gillisia unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Sphingobacterium mizutaii",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Sinomonas unclassified_species",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Sediminibacterium unclassified_species",83,81,0,13,0,0,0,0,0,19,0,0,0,25,0,0
"WAL_1855D unclassified_species",3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"HTCC unclassified_species",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium celatum",34,15,0,66,0,0,39,0,0,29,0,15,0,14,0,0
"Balneimonas unclassified_species",39,14,0,0,0,0,0,0,0,13,0,0,0,19,0,0
"Parabacteroides distasonis",10,0,0,47,0,0,0,0,0,6,0,6,0,0,0,0
"Prevotella pallens",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"B-42 unclassified_species",0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0
"Tepidimicrobium unclassified_species",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Afifella unclassified_species",29,8,0,30,0,0,0,0,0,10,0,13,0,12,0,0
"Halorhodospira unclassified_species",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Edaphobacter unclassified_species",73,81,0,25,0,0,0,0,0,25,0,0,0,40,19,12
"A17 unclassified_species",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium subterminale",0,0,0,0,0,0,0,0,0,16,0,22,13,0,0,0
"Burkholderia glathei",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brochothrix unclassified_species",343,310,317,277,75,1454,49,196,17,47,163,30,74,45,18,22
"Candidatus Arthromitus unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Methylobacterium adhaesivum",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella unclassified_species",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Edaphobacter modestum",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"Thermus unclassified_species",18,0,0,3,0,0,0,0,0,5,0,10,0,5,0,0
"Thermomonas unclassified_species",125,150,20,133,0,0,0,0,29,95,0,16,0,65,0,0
"Prevotella ruminicola",0,0,0,0,10,0,0,5,0,0,0,24,0,0,0,4
"Streptosporangium unclassified_species",3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Amoebophilus unclassified_species",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vagococcus unclassified_species",15,0,19,17,92,0,0,0,0,0,0,0,0,0,0,0
"GOUTA19 unclassified_species",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Jeotgalicoccus psychrophilus",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Pirellula unclassified_species",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacterium multivorum",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Nitrososphaera SCA1145",33,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Dermabacter unclassified_species",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Weissella hellenica",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Gluconobacter unclassified_species",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Dyadobacter unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Clostridium sticklandii",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Marmoricola bigeumensis",8,10,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"Streptococcus anginosus",0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0
"Pleomorphomonas oryzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Leptolyngbya unclassified_species",0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0
"Sorangium cellulosum",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Pseudomonas fragi",2016,1875,1235,2498,912,1409,846,5932,316,1039,1274,941,225,355,681,3373
"Nitrosospira briensis",0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
"Weissella paramesenteroides",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Halomonas unclassified_species",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Proteiniborus ethanoligenes",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium unclassified_species",95,132,0,22,0,0,0,0,0,19,0,0,0,39,0,0
"Nostocoida limicola",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Methylobacter luteus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Anaeroplasma unclassified_species",3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
"Aeromicrobium unclassified_species",50,33,0,22,0,0,0,0,0,18,0,0,0,17,0,0
"Marinobacter hydrocarbonoclasticus",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Rubellimicrobium unclassified_species",0,12,0,0,0,17,0,4,0,0,0,0,0,0,0,0
"Lactobacillus agilis",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Brevundimonas diminuta",0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,0
"Cryocola unclassified_species",20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Methylocaldum unclassified_species",0,0,0,7,0,0,0,4,0,0,0,11,0,0,0,16
"Prevotella melaninogenica",5,0,0,18,0,0,4,19,0,0,0,111,0,0,0,0
"Lysinibacillus unclassified_species",0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter crystallopoietes",0,32,0,44,0,0,0,0,0,0,25,0,0,0,0,0
"Peptoniphilus unclassified_species",26,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0
"Sulfuritalea unclassified_species",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"Tsukamurella unclassified_species",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacter lovleyi",17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Exiguobacterium unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Chitinophaga arvensicola",30,80,0,10,0,0,0,0,0,7,0,0,0,18,0,8
"Inquilinus unclassified_species",0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0
"Alcaligenes faecalis",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysinibacillus massiliensis",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus vaginalis",35,38,0,51,25,0,16,19,0,0,0,23,51,0,0,71
"Phyllobacterium unclassified_species",59,50,36,211,63,0,27,30,55,33,28,17,0,16,0,0
"Brevundimonas unclassified_species",11,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium acnes",28,10,7,13,13,17,6,8,0,8,3,48,6,12,4,9
"Thermobispora bispora",6,0,0,51,0,0,0,7,0,0,0,0,0,0,0,0
"Mycobacterium vaccae",45,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter lwoffii",0,135,0,0,0,42,22,48,0,0,0,0,0,0,0,0
"Rubritalea unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiobacterium thermophilum",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella aerofaciens",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Rhodococcus unclassified_species",0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0
"Leptotrichia unclassified_species",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Geodermatophilus unclassified_species",38,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"Treponema unclassified_species",0,5,0,2,3,0,0,1,0,0,0,2,0,0,0,0
"Ralstonia unclassified_species",0,10,0,185,10,0,0,0,0,0,0,0,0,0,6,13
"Neisseria bacilliformis",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Pseudomonas veronii",0,0,0,34,0,61,0,31,60,92,45,160,74,77,170,560
"Photobacterium damselae",29,19,0,162,0,0,0,0,0,0,0,0,0,0,0,0
"Planomicrobium unclassified_species",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoxanthomonas mexicana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Conexibacter unclassified_species",71,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Ureibacillus unclassified_species",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces reticuliscabiei",41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacoccus unclassified_species",130,90,0,6,0,0,0,0,0,44,0,0,0,50,0,0
"Alistipes putredinis",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Rickettsia unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Hyphomonas unclassified_species",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Nocardioides pyridinolyticus",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium unclassified_species",0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0
"Streptomyces unclassified_species",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingopyxis unclassified_species",17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9
"Frigoribacterium unclassified_species",0,0,0,0,0,0,0,0,0,0,0,27,7,3,0,0
"JG37-AG-70 unclassified_species",8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteimonas mephitis",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
"Succiniclasticum unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
"Jeotgalicoccus unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella intermedia",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Dietzia unclassified_species",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia bryophila",66,106,10,79,0,0,0,0,0,30,7,112,110,103,49,0
"Haemophilus parainfluenzae",10,23,0,43,0,0,0,0,0,4,0,62,0,13,0,0
"Syntrophobacter unclassified_species",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Catonella unclassified_species",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Moryella unclassified_species",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Gemmatimonas unclassified_species",0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0
"Lactobacillus iners",20,21,0,19,0,0,10,0,9,8,5,13,15,13,6,0
"Rudaea cellulosilytica",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Bacteroides ovatus",0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0
"Bacillus longiquaesitum",74,154,36,48,0,0,0,0,0,24,0,0,0,19,0,0
"Parabacteroides gordonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Clostridium bartlettii",22,19,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"Odoribacter unclassified_species",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"Psychrobacter pulmonis",36,12,25,27,0,11,14,10,15,12,11,0,0,12,0,10
"Bifidobacterium pseudolongum",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Sporosarcina unclassified_species",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Ammoniphilus oxalaticus",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia unclassified_species",1,0,44,0,72,76,72,97,0,47,34,0,21,23,41,26
"Corynebacterium aurimucosum",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smithella unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodococcus ruber",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium bowmanii",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Roseomonas unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter unclassified_species",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Kingella unclassified_species",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Solimonas soli",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Lysobacter oryzae",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus marcusii",24,12,0,6,11,0,0,0,0,10,0,0,0,21,0,0
"Curtobacterium unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"Salinispora unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Chondromyces unclassified_species",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia obeum",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Pilimelia unclassified_species",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"CF231 unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Sporomusa unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter segnis",0,0,0,0,7,8,0,26,0,0,0,72,0,0,0,0
"Sporocytophaga unclassified_species",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter johnsonii",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"Ecksteinia adelgidicola",0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Blautia producta",0,0,0,61,0,0,0,0,0,0,0,10,19,0,0,64
"Paenibacillus larvae",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"Rickettsia Rickettsia endosymbiont of Deronectes platynotus",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Bacillus unclassified_species",36,14,0,25,0,22,21,19,0,0,0,158,3,13,0,0
"Candidatus Methylomirabilis unclassified_species",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Dactylosporangium unclassified_species",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus amylolyticus",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Rugosimonospora acidiphila",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"Rubricoccus unclassified_species",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pullulanibacillus unclassified_species",16,10,0,0,0,0,0,0,0,10,0,0,0,16,0,0
"Dorea unclassified_species",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylophaga unclassified_species",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Fusobacterium unclassified_species",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Clostridium aldenense",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus casseliflavus",0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
"Gaiella occulta",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio C21_c20",5,8,0,38,0,0,0,0,0,0,0,0,6,0,0,30
"Lactobacillus helveticus",0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
"Morganella unclassified_species",14,0,24,14,2,0,0,16,0,0,6,0,0,0,0,0
"Psychrobacter marincola",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus muralis",33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium bifidum",0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0
"Alistipes massiliensis",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Oceanobacillus profundus",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Psychrobacter unclassified_species",19,19,8,29,0,81,0,6,0,0,0,30,0,0,0,0
"Shewanella unclassified_species",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,30
"Phycicoccus unclassified_species",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasma unclassified_species",0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0
"FFCH10602 unclassified_species",5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Bifidobacterium unclassified_species",0,0,0,0,0,8,0,0,0,0,0,4047,0,0,0,0
"Aerococcus unclassified_species",0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,45
"Ramlibacter unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter unclassified_species",47,30,15,273,6,6,0,6,0,10,0,41,0,0,0,15
"Bacteroides fragilis",0,0,0,39,0,0,0,13,0,0,0,0,0,0,0,0
"Synechococcus unclassified_species",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Rickettsiella unclassified_species",5,4,0,0,0,2,0,0,0,6,0,0,0,0,0,0
"Brevundimonas vesicularis",0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,9
"Methanobrevibacter unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Chloronema unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus acidipiscis",0,0,0,0,22,31,18,17,0,0,0,0,0,0,0,0
"Alistipes finegoldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Bifidobacterium adolescentis",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus horikoshii",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacillus vulcani",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Glaciecola unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudofulvimonas gallinarii",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus clausii",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"Anaerovibrio unclassified_species",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrocarboniphaga effusa",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Robinsoniella peoriensis",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Acidiphilium unclassified_species",4,0,0,43,0,0,0,0,3,0,0,0,0,0,0,0
"Variovorax unclassified_species",72,103,0,71,0,0,0,0,0,39,0,20,0,38,0,0
"Polaromonas unclassified_species",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"Cupriavidus unclassified_species",20,0,9,0,0,0,0,18,0,0,0,0,0,18,0,0
"Akkermansia muciniphila",22,16,5,259,0,6,0,12,3,0,0,8,0,4,0,0
"RFN20 unclassified_species",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Brachybacterium unclassified_species",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Aquabacterium unclassified_species",0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"Parvimonas unclassified_species",0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0
"AF12 unclassified_species",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcus alpinitundrae",15,9,0,6,0,0,0,0,0,6,0,0,0,6,0,0
"Paraeggerthella hongkongensis",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] bifermentans",0,0,0,0,0,0,0,0,5,0,0,34,37,28,15,0
"Mycobacterium gordonae",0,0,0,0,0,0,0,0,0,0,0,18,0,7,0,0
"Alkanibacter difficilis",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces mirabilis",28,59,0,42,0,0,0,0,0,0,0,0,0,13,0,0
"Nitrospira marina",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Legionella pneumophila",10,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0
"Prevotella stercorea",0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Clostridium clostridioforme",33,0,0,12,0,0,0,11,0,0,0,188,15,21,0,0
"Turneriella unclassified_species",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Algoriphagus terrigena",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Salinicoccus unclassified_species",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"[Eubacterium] biforme",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Rummeliibacillus unclassified_species",34,0,0,7,0,0,0,0,0,0,0,0,0,26,0,0
"Paracoccus unclassified_species",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Acidopila rosea",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter ganmani",8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3
"Duganella nigrescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Xanthomonas campestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Terriglobus saanensis",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium tyrobutyricum",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solibacillus unclassified_species",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"TG5 unclassified_species",0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0
"Tissierella_Soehngenia unclassified_species",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia aeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"Streptococcus infantis",13,9,13,68,115,54,95,73,10,12,12,414,30,14,20,0
